,Rank,City,State,Population,Latitude,Longitude,Address,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
242,243,Independence,Missouri,"116,925",39.0855,-94.3521,"Independence, Missouri",6,American Restaurant,Pizza Place,Sandwich Place,BBQ Joint,Breakfast Spot,Italian Restaurant,Steakhouse,Bakery,Burger Joint,Gastropub,Seafood Restaurant,Sushi Restaurant,Mexican Restaurant,Café,New American Restaurant,Tapas Restaurant,Thai Restaurant,Fried Chicken Joint,Vietnamese Restaurant,Scandinavian Restaurant,Noodle House,Donut Shop,Ethiopian Restaurant,Deli / Bodega,Vegetarian / Vegan Restaurant
243,244,Fairfield,California,"116,884",38.2593,-122.0321,"Fairfield, California",1,Mexican Restaurant,Italian Restaurant,American Restaurant,Burger Joint,Pizza Place,Fast Food Restaurant,Café,French Restaurant,New American Restaurant,Breakfast Spot,Steakhouse,Diner,Asian Restaurant,Bakery,Donut Shop,Seafood Restaurant,Sushi Restaurant,Gastropub,Peruvian Restaurant,Chinese Restaurant,Food Truck,Cajun / Creole Restaurant,Creperie,Sandwich Place,Japanese Restaurant
244,245,Provo,Utah,"116,702",40.2453,-111.6448,"Provo, Utah",1,Mexican Restaurant,Burger Joint,Pizza Place,Sandwich Place,Fast Food Restaurant,Café,American Restaurant,Bakery,Snack Place,Hot Dog Joint,Asian Restaurant,BBQ Joint,Thai Restaurant,Sushi Restaurant,Chinese Restaurant,Latin American Restaurant,New American Restaurant,Taco Place,Soup Place,Indian Restaurant,Salad Place,Comfort Food Restaurant,Mediterranean Restaurant,Noodle House,Greek Restaurant
245,246,Clearwater,Florida,"116,478",27.9789,-82.7666,"Clearwater, Florida",3,American Restaurant,Pizza Place,Seafood Restaurant,Sandwich Place,Mexican Restaurant,Greek Restaurant,Café,Fast Food Restaurant,Italian Restaurant,Diner,Breakfast Spot,Fried Chicken Joint,New American Restaurant,Caribbean Restaurant,Bakery,Latin American Restaurant,Gastropub,Eastern European Restaurant,Donut Shop,Food Truck,Deli / Bodega,Hawaiian Restaurant,French Restaurant,Cuban Restaurant,Hot Dog Joint
246,247,College Station,Texas,"116,218",30.5852,-96.2964,"College Station, Texas",1,Mexican Restaurant,Fast Food Restaurant,Burger Joint,Pizza Place,Sandwich Place,American Restaurant,Fried Chicken Joint,Bakery,Café,New American Restaurant,BBQ Joint,Steakhouse,Seafood Restaurant,Sushi Restaurant,Deli / Bodega,Southern / Soul Food Restaurant,Breakfast Spot,Wings Joint,Italian Restaurant,Taco Place,Thai Restaurant,Mediterranean Restaurant,Salad Place,Indian Restaurant,Cajun / Creole Restaurant
247,248,West Jordan,Utah,"116,046",40.6024,-112.0008,"West Jordan, Utah",5,Sandwich Place,Mexican Restaurant,Burger Joint,Bakery,Pizza Place,Fast Food Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,Asian Restaurant,Diner,Vegetarian / Vegan Restaurant,Italian Restaurant,Breakfast Spot,Indian Restaurant,Japanese Restaurant,Steakhouse,Chinese Restaurant,Soup Place,Deli / Bodega,BBQ Joint,Mediterranean Restaurant,Café,Korean Restaurant,Seafood Restaurant
248,249,Carlsbad,California,"115,877",33.1239,-117.2828,"Carlsbad, California",3,Seafood Restaurant,Pizza Place,American Restaurant,Mexican Restaurant,Breakfast Spot,Burger Joint,Sandwich Place,Bakery,Taco Place,Italian Restaurant,Sushi Restaurant,Deli / Bodega,Japanese Restaurant,Mediterranean Restaurant,Steakhouse,New American Restaurant,French Restaurant,Thai Restaurant,BBQ Joint,Gastropub,Bistro,Noodle House,Dumpling Restaurant,Vegetarian / Vegan Restaurant,Poke Place
249,250,El Monte,California,"115,586",34.0746,-118.0291,"El Monte, California",5,Pizza Place,Sandwich Place,Bakery,Mexican Restaurant,Korean Restaurant,Taco Place,Italian Restaurant,Café,Sushi Restaurant,Fast Food Restaurant,Deli / Bodega,Burger Joint,American Restaurant,Asian Restaurant,Mediterranean Restaurant,Donut Shop,Breakfast Spot,Japanese Restaurant,New American Restaurant,Fried Chicken Joint,Food Court,Middle Eastern Restaurant,Latin American Restaurant,Filipino Restaurant,Cuban Restaurant
250,251,Murrieta,California,"114,985",33.5721,-117.1904,"Murrieta, California",6,American Restaurant,Mexican Restaurant,Pizza Place,Sushi Restaurant,Italian Restaurant,BBQ Joint,Breakfast Spot,Sandwich Place,Bakery,Fast Food Restaurant,Burger Joint,Taco Place,Gastropub,Hot Dog Joint,Deli / Bodega,Asian Restaurant,Thai Restaurant,Seafood Restaurant,Diner,Chinese Restaurant,Cuban Restaurant,Bagel Shop,Steakhouse,Japanese Restaurant,Bistro
251,252,Temecula,California,"114,742",33.4931,-117.1317,"Temecula, California",6,American Restaurant,Mexican Restaurant,Pizza Place,Sushi Restaurant,Italian Restaurant,Bakery,Breakfast Spot,Burger Joint,Gastropub,BBQ Joint,Fast Food Restaurant,Seafood Restaurant,Sandwich Place,Steakhouse,Thai Restaurant,Hot Dog Joint,Chinese Restaurant,Deli / Bodega,Café,Diner,Cuban Restaurant,Bistro,Japanese Restaurant,Greek Restaurant,Vietnamese Restaurant
252,253,Springfield,Illinois,"114,694",39.7911,-89.6446,"Springfield, Illinois",6,American Restaurant,Sandwich Place,Pizza Place,Mexican Restaurant,Italian Restaurant,Steakhouse,Diner,Bakery,Chinese Restaurant,Fast Food Restaurant,Donut Shop,Thai Restaurant,BBQ Joint,New American Restaurant,Asian Restaurant,Wings Joint,Seafood Restaurant,Deli / Bodega,Fried Chicken Joint,Greek Restaurant,Hot Dog Joint,Vietnamese Restaurant,Café,Burger Joint,Japanese Restaurant
253,254,Palm Bay,Florida,"114,194",27.9856,-80.6626,"Palm Bay, Florida",3,Breakfast Spot,American Restaurant,Seafood Restaurant,Mexican Restaurant,Pizza Place,Sandwich Place,Japanese Restaurant,Burger Joint,Thai Restaurant,Italian Restaurant,Steakhouse,Café,Mediterranean Restaurant,Asian Restaurant,Hot Dog Joint,Fast Food Restaurant,Bakery,Diner,German Restaurant,Indian Restaurant,Fried Chicken Joint,Bagel Shop,Korean Restaurant,Cuban Restaurant,Greek Restaurant
254,255,Costa Mesa,California,"113,615",33.6659,-117.9123,"Costa Mesa, California",3,American Restaurant,Seafood Restaurant,Mexican Restaurant,Sandwich Place,Pizza Place,Burger Joint,Bakery,Steakhouse,Café,Italian Restaurant,Fast Food Restaurant,Japanese Restaurant,Mediterranean Restaurant,Donut Shop,Vegetarian / Vegan Restaurant,Sushi Restaurant,Deli / Bodega,Korean Restaurant,Tapas Restaurant,New American Restaurant,French Restaurant,Snack Place,Asian Restaurant,Salad Place,Latin American Restaurant
255,256,Westminster,Colorado,"113,479",39.8822,-105.0644,"Westminster, Colorado",6,American Restaurant,Pizza Place,Italian Restaurant,New American Restaurant,Mexican Restaurant,Sandwich Place,Breakfast Spot,Burger Joint,Taco Place,BBQ Joint,Sushi Restaurant,Chinese Restaurant,Gastropub,Indian Restaurant,Steakhouse,Seafood Restaurant,Japanese Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Food Court,Korean Restaurant,French Restaurant,Hot Dog Joint,Polish Restaurant,German Restaurant
256,257,North Charleston,South Carolina,"113,237",32.9178,-80.065,"North Charleston, South Carolina",0,Pizza Place,American Restaurant,Sandwich Place,Mexican Restaurant,Seafood Restaurant,Burger Joint,Café,BBQ Joint,Southern / Soul Food Restaurant,Bakery,Fast Food Restaurant,Italian Restaurant,Vietnamese Restaurant,Mediterranean Restaurant,Fried Chicken Joint,Gastropub,Donut Shop,Vegetarian / Vegan Restaurant,Chinese Restaurant,Burrito Place,Diner,Comfort Food Restaurant,Fish & Chips Shop,Deli / Bodega,New American Restaurant
